RANK,NAME,CITY,COMPLETION,HEIGHT,FLOORS,MATERIAL,FUNCTION
1,Burj Khalifa,Dubai,2010,"828 m
/
2,717 ft",163,steel/concrete,office / residential / hotel
2,Shanghai Tower,Shanghai,2015,"632 m
/
2,073 ft",128,composite,hotel / office
3,Makkah Royal Clock Tower,Mecca,2012,"601 m
/
1,972 ft",120,steel/concrete,hotel / residential / retail
4,Ping An Finance Center,Shenzhen,2017,"599.1 m
/
1,965 ft",115,composite,office
5,Lotte World Tower,Seoul,2017,"554.5 m
/
1,819 ft",123,composite,hotel / residential / office / retail
6,One World Trade Center,New York City,2014,"541.3 m
/
1,776 ft",94,composite,office
7,Guangzhou CTF Finance Centre,Guangzhou,2016,"530 m
/
1,739 ft",111,composite,hotel / residential / office
7,Tianjin CTF Finance Centre,Tianjin,2019,"530 m
/
1,739 ft",97,composite,hotel / serviced apartments / office
9,CITIC Tower,Beijing,2018,"527.7 m
/
1,731 ft",109,composite,office
10,TAIPEI 101,Taipei,2004,"508 m
/
1,667 ft",101,composite,office
11,Shanghai World Financial Center,Shanghai,2008,"492 m
/
1,614 ft",101,composite,hotel / office
12,International Commerce Centre,Hong Kong,2010,"484 m
/
1,588 ft",108,composite,hotel / office
13,Central Park Tower,New York City,2020,"472.4 m
/
1,550 ft",98,concrete,residential
14,Lakhta Center,St. Petersburg,2019,"462 m
/
1,516 ft",87,composite,office
15,Vincom Landmark 81,Ho Chi Minh City,2018,"461.2 m
/
1,513 ft",81,composite,hotel / residential
16,Changsha IFS Tower T1,Changsha,2018,"452.1 m
/
1,483 ft",94,composite,hotel / office
17,Petronas Twin Tower 1,Kuala Lumpur,1998,"451.9 m
/
1,483 ft",88,composite,office
17,Petronas Twin Tower 2,Kuala Lumpur,1998,"451.9 m
/
1,483 ft",88,composite,office
19,Suzhou IFS,Suzhou,2019,"450 m
/
1,476 ft",95,composite,hotel / office / serviced apartments
19,Zifeng Tower,Nanjing,2010,"450 m
/
1,476 ft",66,composite,hotel / office
21,The Exchange 106,Kuala Lumpur,2019,"445.5 m
/
1,462 ft",95,composite,office
22,Wuhan Center Tower,Wuhan,2019,"443.1 m
/
1,454 ft",88,composite,hotel / residential / office
23,Willis Tower,Chicago,1974,"442.1 m
/
1,451 ft",108,steel,office
24,KK100,Shenzhen,2011,"441.8 m
/
1,449 ft",98,composite,hotel / office
25,Guangzhou International Finance Center,Guangzhou,2010,"438.6 m
/
1,439 ft",103,composite,hotel / office
26,111 West 57th Street,New York City,2021,"435.3 m
/
1,428 ft",84,steel/concrete,residential
27,One Vanderbilt Avenue,New York City,2020,"427 m
/
1,401 ft",62,composite,office
28,432 Park Avenue,New York City,2015,"425.7 m
/
1,397 ft",85,concrete,residential
29,Marina 101,Dubai,2017,"425 m
/
1,394 ft",101,concrete,residential / hotel
30,Trump International Hotel & Tower,Chicago,2009,"423.2 m
/
1,389 ft",98,concrete,residential / hotel
31,Minying International Trade Center T2,Dongguan,2021,"422.6 m
/
1,386 ft",85,composite,office
32,Jin Mao Tower,Shanghai,1999,"420.5 m
/
1,380 ft",88,composite,hotel / office
33,Princess Tower,Dubai,2012,"413.4 m
/
1,356 ft",101,steel/concrete,residential
34,Al Hamra Tower,Kuwait City,2011,"412.6 m
/
1,354 ft",80,concrete,office
35,Two International Finance Centre,Hong Kong,2003,"412 m
/
1,352 ft",88,composite,office
36,LCT The Sharp Landmark Tower,Busan,2019,"411.6 m
/
1,350 ft",101,concrete,hotel / residential
37,Guangxi China Resources Tower,Nanning,2020,"402.7 m
/
1,321 ft",86,composite,hotel / office
38,Guiyang International Financial Center T1,Guiyang,2020,"401 m
/
1,316 ft",79,composite,hotel / office
39,China Resources Tower,Shenzhen,2018,"392.5 m
/
1,288 ft",68,composite,office
40,23 Marina,Dubai,2012,"392.4 m
/
1,287 ft",88,concrete,residential
41,CITIC Plaza,Guangzhou,1996,"390.2 m
/
1,280 ft",80,composite,office
42,Shum Yip Upperhills Tower 1,Shenzhen,2020,"388.1 m
/
1,273 ft",80,composite,hotel / office
43,30 Hudson Yards,New York City,2019,"387.1 m
/
1,270 ft",73,steel,office
44,PIF Tower,Riyadh,2021,"385 m
/
1,263 ft",72,composite,office
45,Shun Hing Square,Shenzhen,1996,"384 m
/
1,260 ft",69,composite,office
46,Eton Place Dalian Tower 1,Dalian,2016,"383.2 m
/
1,257 ft",80,composite,hotel / office
47,Nanning Logan Century 1,Nanning,2018,"381.3 m
/
1,251 ft",82,composite,hotel / office
48,Burj Mohammed Bin Rashid,Abu Dhabi,2014,"381.2 m
/
1,251 ft",88,concrete,residential
49,Empire State Building,New York City,1931,"381 m
/
1,250 ft",102,steel,office
50,Elite Residence,Dubai,2012,"380.5 m
/
1,248 ft",87,concrete,residential
51,1 Corporate Avenue,Wuhan,2021,"376 m
/
1,234 ft",73,composite,office
52,Dabaihui Plaza,Shenzhen,2021,"375.6 m
/
1,232 ft",70,composite,residential / office
53,Central Plaza,Hong Kong,1992,"373.9 m
/
1,227 ft",78,concrete,office
54,Federation Tower,Moscow,2016,"373.7 m
/
1,226 ft",93,concrete,residential / office
55,Dalian International Trade Center,Dalian,2019,"370.2 m
/
1,214 ft",86,composite,residential / office
56,The Address Boulevard,Dubai,2017,"370 m
/
1,214 ft",73,concrete,residential / hotel / retail
57,Qingdao Hai Tian Center,Qingdao,2021,"368.9 m
/
1,210 ft",73,composite,hotel / office
58,Golden Eagle Tiandi Tower A,Nanjing,2019,"368.1 m
/
1,208 ft",77,composite,hotel / office
59,Bank of China Tower,Hong Kong,1990,"367.4 m
/
1,205 ft",72,composite,office
60,Bank of America Tower,New York City,2009,"365.8 m
/
1,200 ft",55,composite,office
61,The St. Regis Chicago,Chicago,2020,"362.9 m
/
1,191 ft",92,concrete,residential / hotel
62,Almas Tower,Dubai,2008,"360 m
/
1,181 ft",68,concrete,office
63,Hanking Center,Shenzhen,2018,"358.9 m
/
1,177 ft",65,composite,office
64,Gevora Hotel,Dubai,2017,"356.3 m
/
1,169 ft",75,steel/concrete,hotel
65,JW Marriott Marquis Hotel Dubai Tower 1,Dubai,2012,"355.4 m
/
1,166 ft",82,concrete,hotel
65,JW Marriott Marquis Hotel Dubai Tower 2,Dubai,2013,"355.4 m
/
1,166 ft",82,concrete,hotel
67,Emirates Tower One,Dubai,2000,"354.6 m
/
1,163 ft",54,composite,office
68,Raffles City Chongqing T3N,Chongqing,2019,"354.5 m
/
1,163 ft",79,composite,residential / retail
68,Raffles City Chongqing T4N,Chongqing,2019,"354.5 m
/
1,163 ft",74,composite,hotel / office / retail
70,OKO - Residential Tower,Moscow,2015,"354.2 m
/
1,162 ft",90,concrete,residential / serviced apartments / hotel
71,The Torch,Dubai,2011,"352 m
/
1,155 ft",86,concrete,residential
72,Forum 66 Tower 1,Shenyang,2015,"350.6 m
/
1,150 ft",68,composite,hotel / office
73,The Pinnacle,Guangzhou,2012,"350.3 m
/
1,149 ft",60,concrete,office
74,Spring City 66,Kunming,2019,"349 m
/
1,145 ft",61,composite,office
75,85 Sky Tower,Kaohsiung,1997,"347.5 m
/
1,140 ft",85,steel,hotel / office / retail
76,Shimao Hunan Center,Changsha,2019,"347 m
/
1,138 ft",N/A,composite,office
77,Aon Center,Chicago,1973,"346.3 m
/
1,136 ft",83,steel,office
78,The Center,Hong Kong,1998,"346 m
/
1,135 ft",73,steel,office
79,NEVA TOWERS 2,Moscow,2020,"345 m
/
1,132 ft",79,concrete,residential
80,875 North Michigan Avenue,Chicago,1969,"343.7 m
/
1,128 ft",100,steel,residential / office
81,Four Seasons Place,Kuala Lumpur,2018,"342.5 m
/
1,124 ft",74,concrete,residential / hotel
82,ADNOC Headquarters,Abu Dhabi,2015,"342 m
/
1,122 ft",65,concrete,office
83,One Shenzhen Bay Tower 7,Shenzhen,2018,"341.4 m
/
1,120 ft",71,composite,residential / hotel / office
84,LCT The Sharp Residential Tower A,Busan,2019,"339.1 m
/
1,113 ft",85,concrete,residential
85,Comcast Technology Center,Philadelphia,2018,"339.1 m
/
1,112 ft",59,composite,hotel / office
86,YunDing Tower,Jinan,2020,"339 m
/
1,112 ft",69,concrete,office / hotel
86,Wuxi International Finance Square,Wuxi,2014,"339 m
/
1,112 ft",68,composite,hotel / office
86,Heartland 66 Office Tower,Wuhan,2020,"339 m
/
1,112 ft",60,composite,office
89,Chongqing World Financial Center,Chongqing,2015,"338.9 m
/
1,112 ft",72,composite,hotel / office
90,Mercury City Tower,Moscow,2013,"338.8 m
/
1,112 ft",75,concrete,residential / office
91,Suning Plaza Tower 1,Zhenjiang,2018,"338 m
/
1,109 ft",75,composite,hotel / serviced apartments / SOHO / office
91,Tianjin Modern City Office Tower,Tianjin,2016,"338 m
/
1,109 ft",65,composite,office
93,Hengqin International Finance Center,Zhuhai,2020,"337.7 m
/
1,108 ft",69,composite,residential / office
94,Tianjin World Financial Center,Tianjin,2011,"336.9 m
/
1,105 ft",75,composite,office
95,SLS Dubai,Dubai,2020,"336 m
/
1,102 ft",78,concrete,serviced apartments / hotel
96,Wilshire Grand Center,Los Angeles,2017,"335.3 m
/
1,100 ft",62,composite,hotel / office
97,DAMAC Heights,Dubai,2018,"335.1 m
/
1,099 ft",88,concrete,residential
98,"Twin Towers Guiyang, East Tower",Guiyang,2020,"335 m
/
1,099 ft",74,composite,office
98,"Twin Towers Guiyang, West Tower",Guiyang,2020,"335 m
/
1,099 ft",74,composite,hotel / office
100,Shimao International Plaza,Shanghai,2006,"333.3 m
/
1,094 ft",60,concrete,hotel / office / retail
